Ticker,Sector,Sub Industry,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
A,Health Care,Health Care Equipment,"Agilent Technologies, Inc.",74.56,0.009055383371513,22979.20071,30.44,0.274330502939255,0.960773450174766
AAL,Industrials,Airlines,"American Airlines Group, Inc.",9.81,0.037593984962406,4499.6028,-5.28,-0.215088455127171,1.2984701750289
AAP,Consumer Discretionary,Automotive Retail,"Advance Auto Parts, Inc.",120.11,0.002058495582811,8055.08651,17.49,0.0349507776548028,0.997614051082865
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals","Apple, Inc.",293.54,0.010654858684747,1264820.0036,22.79,0.239474400342106,1.16062090090737
ABBV,Health Care,Pharmaceuticals,"AbbVie, Inc.",81.86,0.054321583775953,122327.3428,N/A,N/A,0.790977084663845
ABC,Health Care,Health Care Distributors,AmerisourceBergen Corp.,86.42,0.01852280620514,17784.95096,27.71,0.513067179733846,0.951117720941735
ABMD,Health Care,Health Care Equipment,"ABIOMED, Inc.",180.66,N/A,8258.646363,40.27,N/A,0.623440681301912
ABT,Health Care,Health Care Equipment,Abbott Laboratories,89.83,0.01513633834168,158931.1725,44.51,0.673934588701685,0.919139112037132
ACN,Information Technology,IT Consulting & Other Services,Accenture Plc,179.53,0.016991504247876,114722.19243,23,0.39206139732732,1.06425480942108
ADBE,Information Technology,Application Software,"Adobe, Inc.",349.41,N/A,165662.45584,52.32,N/A,1.15025709639499
ADI,Information Technology,Semiconductors,"Analog Devices, Inc.",103.46,0.020841373986877,38162.3208,31.57,0.659582264565775,1.27178516741797
ADM,Consumer Staples,Agricultural Products,Archer-Daniels-Midland Co.,34.76,0.040148063781321,19569.14496,12.69,0.514692462128126,0.992595651160061
ADP,Information Technology,Internet Services & Infrastructure,"Automatic Data Processing, Inc.",144.52,0.024213075060532,60352.516,24.63,0.579700260865117,1.17228480536312
ADS,Information Technology,Data Processing & Outsourced Services,Alliance Data Systems Corp.,46.34,0.054333764553686,2208.94026,-6.09,-0.331448112587137,1.5257401881237
ADSK,Information Technology,Application Software,"Autodesk, Inc.",177.7,N/A,38394.2229,182.25,N/A,1.187293439349
AEE,Utilities,Multi-Utilities,Ameren Corp.,71.44,0.026871938418474,17629.35865,21.19,0.569547032126012,0.932827634559625
AEP,Utilities,Electric Utilities,"American Electric Power Co., Inc.",83.05,0.033296473768276,40274.45787,21.34,0.696335885708413,0.743164084474813
AES,Utilities,Independent Power Producers & Energy Traders,The AES Corp.,12.81,0.042720247295208,8602.09792,28.14,1.21441124780316,1.14238246140617
AFL,Financials,Life & Health Insurance,"Aflac, Inc.",35.75,0.029765155652648,26275.14296,8.95,0.272745470923831,1.2151865843811
AGN,Health Care,Pharmaceuticals,Allergan Plc,188.7,0.015600295140718,62569.80084,-11.81,-0.185187502346125,0.494133253364218
AIG,Financials,Property & Casualty Insurance,"American International Group, Inc.",24.07,0.053556485355648,20584.831,6.34,0.336957380156369,1.47410467939124
AIV,Real Estate,Residential REITs,Apartment Investment & Management Co.,36.41,0.043108421094008,5431.4771,11.4,0.49225503077791,1.12769441620615
AIZ,Financials,Multi-line Insurance,"Assurant, Inc.",100,0.023749022673964,6121.171216,17.06,0.414633313995154,1.00534316983691
AJG,Financials,Insurance Brokers,Arthur J. Gallagher & Co.,80.14,0.022448716294671,14695.896,22.09,0.479655970889845,0.982346408214436
AKAM,Information Technology,Internet Services & Infrastructure,"Akamai Technologies, Inc.",97.63,N/A,15529.32,32.05,N/A,0.651487833266745
ALB,Materials,Specialty Chemicals,Albemarle Corp.,57.26,0.025591922005571,6106.96336,11.38,0.292066519639983,1.18497596440851
ALGN,Health Care,Health Care Supplies,"Align Technology, Inc.",210.19,N/A,16008.55434,8.76,N/A,1.38730872551109
ALK,Industrials,Airlines,"Alaska Air Group, Inc.",28.77,0.046496180670873,3691.03435,4.61,0.224456094784602,1.34805889152041
ALL,Financials,Property & Casualty Insurance,The Allstate Corp.,100.34,0.020052135552436,31558.2347,7.02,0.1399031869946,1.06733512960014
ALLE,Industrials,Building Products,Allegion Plc,94.76,0.011592121460812,8989.625096,27.48,0.327659697857163,1.04789967315975
ALXN,Health Care,Biotechnology,"Alexion Pharmaceuticals, Inc.",103.93,N/A,23078.411,9.62,N/A,0.801579670781016
AMAT,Information Technology,Semiconductor Equipment,"Applied Materials, Inc.",47.56,0.01791426743442,43059.32145,15.56,0.274770207058977,1.53264522907562
AMCR,Materials,Paper Packaging,Amcor Plc,8.69,0.040322580645161,13923.154,27.65,1.11358574610245,0.095869655321007
AMD,Information Technology,Semiconductors,"Advanced Micro Devices, Inc.",52.59,N/A,58418.9572,122.43,N/A,1.31493995716023
AME,Industrials,Electrical Components & Equipment,"AMETEK, Inc.",79.67,0.006957386010684,18447.5031,21.07,0.148097215243435,1.24239220484098
AMGN,Health Care,Biotechnology,"Amgen, Inc.",230.865,0.025759806043813,135761.49774,17.98,0.463384811881342,0.835109986377273
AMP,Financials,Asset Management & Custody Banks,"Ameriprise Financial, Inc.",113.06,0.034244112888729,13681.53094,8,0.269427413708976,1.87817374436079
AMT,Real Estate,Specialized REITs,American Tower Corp.,236.63,0.016908625106746,103822.2652,54.99,0.920245398773006,0.95921577599703
AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,"Amazon.com, Inc.",2315.66,N/A,1139648.091,108.66,N/A,0.678605537927143
ANET,Information Technology,Communications Equipment,"Arista Networks, Inc.",211,N/A,15709.772468,18.73,N/A,1.07086709513275
ANSS,Information Technology,Application Software,"ANSYS, Inc.",258.845,N/A,21963.05496,48.37,N/A,1.17241581984006
ANTM,Health Care,Managed Health Care,"Anthem, Inc.",271,0.012427198872278,67962.91012,14.42,0.17822277314635,1.25208282723695
AON,Financials,Insurance Brokers,Aon Plc,177.68,0.002468997250434,41181.12322,25.42,0.0629371629643404,0.846527698725828
AOS,Industrials,Building Products,A. O. Smith Corp.,41.98,0.021608643457382,5662.734,18.76,0.402180713200465,0.690409376941755
